time,Fund1,Fund2,Fund3,Fund4,Fund5,Fund6,Fund7,Fund8,Fund9,Fund10,Fund11,Fund12,Fund13,Fund14,Fund15,Fund16,Fund17,Fund18,Fund19
2016/1/1,1,1,1.116,,,,,,,,,,,,,,,,
2016/1/8,0.987,1,1.123,,,,,,,,,,,,,,,,
2016/1/15,1.005,1,1.127,,,,,,,,,,,,,,,,
2016/1/22,0.986,1,1.115,,,,,,,,,,,,,,,,
2016/1/29,0.982,1,1.097,,,,,,,,,,,,,,,,
2016/2/5,0.986,1,1.099,,,,,,,,,,,,,,,,
2016/2/12,0.986,1,1.099,,,,,,,,,,,,,,,,
2016/2/19,0.997,1,1.061,,,,,,,,,,,,,,,,
2016/2/26,1.002,1,1.058,,,,,,,,,,,,,,,,
2016/3/4,1.021,1,1.044,,,,,,,,,,,,,,,,
2016/3/11,1.037,1,1.052,,,,,,,,,,,,,,,,
2016/3/18,1.052,1,1.04,,,,,,,,,,,,,,,,
2016/3/25,1.041,1,1.033,,,,,,,,,,,,,,,,
2016/4/1,1.038,0.9992,1.052,,,,,,,,,,,,,,,,
2016/4/8,1.029,1.0022,1.054,,,,,,,,,,,,,,,,
2016/4/15,1.049,1.0113,1.056,,,,,,,,,,,,,,,,
2016/4/22,1.097,1.02,1.046,,,,,,,,,,,,,,,,
2016/4/29,1.084,1.0256,1.073,,,,,,,,,,,,,,,,
2016/5/6,1.062,1.0324,1.064,,,,,,,,,,,,,,,,
2016/5/13,1.067,1.0292,1.104,,,,,,,,,,,,,,,,
2016/5/20,1.065,1.0292,1.129,,,,,,,,,,,,,,,,
2016/5/27,1.073,1.0351,1.121,,,,,,,,,,,,,,1.0033,,
2016/6/3,1.066,1.0429,1.139,,,,1,,,,,,,,,,1.0026,,
2016/6/10,1.056,1.0427,1.142,,,,1,,,,,,,,,,1.0033,,
2016/6/17,1.051,1.0448,1.132,,,,1,,,,,,,,,,1.0103,,
2016/6/24,1.051,1.0505,1.14,,,,1,,,,,,,,,,1.0108,,
2016/7/1,1.091,1.0505,1.185,,,,1,,,,,,,,,,1.0214,,
2016/7/8,1.092,1.0505,1.186,,,,0.9998,,,,,,,,,,1.021,,
2016/7/15,1.102,1.0505,1.214,,,,1.0174,,,,,,,,,,1.0242,,
2016/7/22,1.08,1.0567,1.171,,,,1.0253,,,,,,,,,,1.028,,
2016/7/29,1.083,1.0629,1.171,,,,1.0446,,,,,,,,,,1.0319,,
2016/8/5,1.085,1.0724,1.175,,,,1.0485,,,,,,,,,,1.0407,,
2016/8/12,1.087,1.0787,1.189,,,,1.0443,,,,,,,,,,1.0457,,
2016/8/19,1.087,1.0776,1.182,,,,1.0395,,,,,,,,,,1.0469,,
2016/8/26,1.079,1.0851,1.18,,,,1.0659,1.003042,,,,,,,,,1.0505,,
2016/9/2,1.066,1.084,1.18,,,,1.0595,1.006821,,,,,,,,,1.06,,
2016/9/9,1.063,1.0843,1.167,,,,1.0769,1.010038,,,,,,,,,1.0648,,
2016/9/16,1.064,1.0863,1.144,,,,1.089,1.013104,,,,,,,,,1.0662,,
2016/9/23,1.06,1.0901,1.167,,,,1.1232,1.017037,,,,,,,,,1.0613,,
2016/9/30,1.053,1.0968,1.183,,,,1.1319,1.015036,,,,,,,,,1.0663,,
2016/10/7,1.053,1.0968,1.183,,,,1.1319,1.015036,,,,,,,,,1.0663,,
2016/10/14,1.068,1.0984,1.213,,,,1.1415,1.03021,,,,,,,,,1.0742,,
2016/10/21,1.075,1.1013,1.273,,,,1.1452,1.04291,,,,,,,,,1.0776,,
2016/10/28,1.117,1.1039,1.313,,,,1.1655,1.04703,,,,,,,,,1.0757,,
2016/11/4,1.142,1.1036,1.322,1,,,1.1842,1.045002,,,,,,,,,1.0751,,
2016/11/11,1.234,1.1036,1.434,1,1,1,1.2346,1.051036,,,,,,,,,1.0772,,
2016/11/18,1.176,1.1114,1.419,1,1,1,1.2791,1.05708,,,,,,,,,1.078,,
2016/11/25,1.21,1.1059,1.428,1,1,1,1.2627,1.058019,,,,,,,,,1.0791,,
2016/12/2,1.184,1.1129,1.425,1,1,1,1.3148,1.05931,,,,,,,,,1.0774,,
2016/12/9,1.199,1.1206,1.459,1,1,1,1.3562,1.057046,,,,,,,,,1.0791,,
2016/12/16,1.201,1.1468,1.452,1,1.007,1.015104038,1.3596,1.06701,,,,,,,,,1.0771,,
2016/12/23,1.186,1.1514,1.411,1,1.004,1.013636249,1.3541,1.07023,,,,,,,,,1.0786,,
2016/12/30,1.184,1.1564,1.406,1,1.002,1.013171157,1.3554,1.073057,,,,,,,,,1.0799,,
2017/1/6,1.179,1.1648,1.418,1,1.001,1.013713398,1.3558,1.080371,,,,,,,,,1.0832,,
2017/1/13,1.173,1.1707,1.426,1,0.993,1.007166015,1.3567,1.09273,,,,,,,,,1.0832,,
2017/1/20,1.16,1.1762,1.436,0.995,0.988,1.003638869,1.3692,1.090175,,,,,,,,,1.0967,,
2017/1/27,1.167,1.1778,1.466,0.995,0.988,1.003638869,1.3774,1.09364,,,,,,,,,1.0999,,
2017/2/3,1.149,1.1779,1.455,1.013,0.996,1.01484305,1.383,1.09364,,,,,,,,,1.1004,,
2017/2/10,1.148,1.1797,1.477,1.011,1.007,1.02760711,1.4147,1.096327,,,,,,,,,1.1053,,
2017/2/17,1.154,1.1805,1.519,1.037,1.005,1.027141706,1.4381,1.093012,,,,,,,,,1.1054,,
2017/2/24,1.157,1.181,1.534,1.035,1.01,1.033826674,1.4567,1.090263,,,,,,,,,1.106,,
2017/3/3,1.149,1.1817,1.534,1.022,1.011,1.036435324,1.4663,1.093794,1,,,,,,,,1.1082,,
2017/3/10,1.166,1.1838,1.521,1.068,1.01,1.036999224,1.493,1.107291,1.004,,,,,,,,1.109,,
2017/3/17,1.155,1.1862,1.515,1.073,1.009,1.037562416,1.4866,1.113026,1.001,,,,,,,,1.109,,
2017/3/24,1.162,1.1896,1.52,1.055,1.009,1.039153203,1.498,1.119572,1.008,1.0001,,,,,,,1.11,,
2017/3/31,1.167,1.1898,1.529,1.069,1.003,1.034567123,1.507,1.123651,1.012,1.0002,,,,,,,1.1048,,
2017/4/7,1.171,1.1922,1.58,1.067,1.008,1.041310681,1.4998,1.130795,1.017,1.0009,,,,,,,1.1057,,
2017/4/14,1.188,1.1939,1.594,1.082,1.006,1.040841123,1.5097,1.136483,1.014,1.0014,,,,1,,,1.1017,,
2017/4/21,1.181,1.1964,1.603,1.059,0.988,1.023813537,1.5064,1.147302,1.024,1.0019,,,,1,,,1.0991,,
2017/4/28,1.18,1.2001,1.581,1.051,1.001,1.038854475,1.5094,1.150726,1.029,1.0021,,,,1,1.0063,,1.0969,,
2017/5/5,1.2,1.2017,1.562,1.074,1.006,1.045636326,1.5137,1.1579801,1.027,1.0024,,,,0.984,1.0156,,1.0944,,
2017/5/12,1.196,1.2019,1.551,1.082,1.016,1.057633491,1.5146,1.160327,1.035,1.0068,,,,0.97,1.0149,,1.0908,,
2017/5/19,1.18,1.2056,1.619,1.083,1.019,1.062377985,1.5124,1.169304,1.035,1.0048,,1.0002,,1.015,1.0102,,1.0863,,
2017/5/26,1.176,1.2076,1.631,1.086,1.001,1.045240574,1.5164,1.174075,1.031,1.0069,,1.0035,1.0018,1.012,1.0115,,1.0782,,
2017/6/2,1.189,1.21,1.622,1.119,0.998,1.043710544,1.5155,1.180821,1.031,1.0083,,1.0042,1.0038,1.046,1.0117,,1.0789,,
2017/6/9,1.182,1.2107,1.636,1.108,1.021,1.069364206,1.5165,1.182056,1.042,1.0117,,1.0052,1.0069,1.014,1.012,,1.0796,,
2017/6/16,1.169,1.2182,1.643,1.131,1.026,1.076240599,1.517,1.181073,1.044,1.0146,,1.0079,1.0096,0.959,1.0123,,1.0811,,
2017/6/23,1.162,1.2215,1.646,1.123,1.028,1.079988622,1.5178,1.189023,1.05,1.0172,,1.0093,1.0122,0.93,1.0126,,1.0822,,
2017/6/30,1.181,1.2256,1.683,1.132,1.029,1.082695029,1.5178,1.192074,1.052,1.022,,1.0092,1.0165,0.899,1.027,,1.0852,,
2017/7/7,1.189,1.2284,1.742,1.142,1.041,1.096981195,1.519,1.197374,1.056,1.0235,,1.0145,1.0179,0.899,1.027,,1.0837,,
2017/7/14,1.213,1.2327,1.789,1.177,1.05,1.10814707,1.5279,1.190328,1.056,1.0287,,1.0153,1.0223,0.929,1.0252,,1.0761,,
2017/7/21,1.235,1.2402,1.798,1.171,1.054,1.114067589,1.5335,1.198042,1.06,1.032,,1.0169,1.0267,0.94,1.0255,,1.0828,,
2017/7/28,1.225,1.2449,1.787,1.22,1.056,1.117889654,1.5373,1.20472,1.061,1.0348,1.003,1.0372,1.0304,0.94,1.0309,0.9998,1.0905,1,
2017/8/4,1.246,1.2493,1.836,1.254,1.067,1.131248282,1.5363,1.21043,1.056,1.0398,1.007,1.0359,1.0349,0.973,1.0603,0.9994,1.0834,1,
2017/8/11,1.254,1.2522,1.838,1.244,1.07,1.13616335,1.5381,1.22843,1.062,1.0369,1.012,1.0373,1.0319,1.021,1.0666,0.9991,1.1056,0.999,
2017/8/18,1.247,1.2576,1.843,1.264,1.083,1.151709165,1.5496,1.24027,1.064,1.034,1.013,1.039,1.0303,1.035,1.0579,0.9987,1.1144,1.012,
2017/8/25,1.273,1.2592,1.857,1.254,1.084,1.154538405,1.5412,1.25,1.061,1.0324,1.01,1.039,1.0293,1.077,1.0592,0.9981,1.1224,1.008,
2017/9/1,1.272,1.2601,1.901,1.234,1.089,1.161633901,1.5486,1.247302,1.063,1.0341,1.012,1.0537,1.03,1.066,1.0725,0.9977,1.1537,1.019,
2017/9/8,1.265,1.2625,1.914,1.249,1.098,1.173015194,1.5507,1.231094,1.067,1.0368,1.014,1.052,1.0317,1.084,1.0849,0.9973,1.1761,1.024,
2017/9/15,1.254,1.2656,1.899,1.224,1.093,1.169472058,1.5537,1.24001,1.065,1.0466,1.02,1.0511,1.0366,1.095,1.0792,0.9986,1.1855,1.024,
2017/9/22,1.281,1.2685,1.892,1.235,1.103,1.181964741,1.5552,1.252763,1.064,1.0446,1.024,1.0509,1.0353,1.131,1.0805,1.0028,1.1886,1.036,1
2017/9/29,1.292,1.27,1.922,1.254,1.106,1.186991698,1.555,1.258031,1.069,1.0441,1.027,1.0716,1.0348,1.141,1.0838,1.0063,1.1919,1.036,1.0002
2017/10/6,1.292,1.27,1.922,1.254,1.106,1.186991698,1.555,1.258031,1.069,1.0441,1.027,1.0716,1.0348,1.141,1.0838,1.0063,1.1919,1.036,1.0002
2017/10/13,1.284,1.2794,1.966,1.247,1.109,1.193851169,1.5579,1.260749,1.075,1.0484,1.033,1.0707,1.0372,1.139,1.0831,1.0092,1.1971,1.0487,1.0006
2017/10/20,1.415,1.2854,1.977,1.261,1.114,1.201064134,1.559,1.269361,1.083,1.0554,1.043,1.0711,1.0394,1.147,1.0835,1.0108,1.2063,1.0463,1.0033
2017/10/27,1.261,1.2854,1.987,1.258,1.125,1.214765301,1.5575,1.270863,1.093,1.0541,1.041,1.0706,1.039,1.147,1.0878,1.0174,1.2077,1.0527,1.0006
2017/11/3,1.252,1.2913,1.973,1.274,1.129,1.220946941,1.5629,1.27593,1.088,1.0523,1.042,1.0869,1.0381,1.178,1.0941,1.0212,1.207,1.0544,1.0037
2017/11/10,1.252,1.2927,1.982,1.27,1.129,1.222818892,1.568,1.28032,1.088,1.0538,1.044,1.0861,1.0393,1.066,1.1025,1.0251,1.2103,1.0577,1.0032
2017/11/17,1.24,1.2947,1.976,1.25,1.125,1.220361317,1.5739,1.28728,1.089,1.0561,1.047,1.0846,1.0408,1.061,1.0988,1.0333,1.2106,1.065,1.0062
2017/11/24,1.253,1.2893,1.965,1.27,1.131,1.228740965,1.5757,1.29207,1.084,1.0617,1.047,1.095,1.0439,1.078,1.0991,1.0478,1.2082,1.0627,1.0105
2017/12/1,1.256,1.2766,1.972,1.277,1.139,1.239316225,1.5836,1.307493,1.093,1.0643,1.049,1.0933,1.0454,1.107,1.1095,1.0592,1.2091,1.0637,1.0139
2017/12/8,1.241,1.2844,1.943,1.317,1.148,1.251009006,1.5914,1.310472,1.1,1.0622,1.049,1.0935,1.0442,1.207,1.122,1.065,1.2116,1.0714,1.0186
2017/12/15,1.233,1.2854,1.954,1.309,1.159,1.264914069,1.5969,1.320947,1.105,1.0568,1.049,1.093,1.0429,1.207,1.1172,1.0713,1.2117,1.0728,1.0221
2017/12/22,1.226,1.294,1.99,1.331,1.16,1.267944815,1.5986,1.32831,1.11,1.0507,1.05,1.0937,1.0394,1.254,1.1176,1.0792,1.2114,1.0731,1.0241
2017/12/29,1.227,1.2933,1.979,1.298,1.166,1.276447158,1.6015,1.33901,1.109,1.0515,1.05,1.1117,1.04,1.342,1.1108,1.0929,1.2125,1.0752,1.0225
2018/1/5,1.227,1.3035,2.032,1.271,1.169,1.281688372,1.6028,1.34106,1.12,1.0514,1.056,1.1129,1.0392,1.341,1.1222,1.096,1.2115,1.0842,1.0223
2018/1/12,1.211,1.3056,2.036,1.253,1.167,1.281460657,1.6117,1.34817,1.118,1.0511,1.058,1.1166,1.0388,1.362,1.1236,1.0997,1.2242,1.0887,1.042
2018/1/19,1.203,1.2982,2.019,1.252,1.178,1.295504281,1.6235,1.35032,1.122,1.0556,1.055,1.1205,1.0423,1.343,1.1239,1.1184,1.2419,1.0958,1.0413
2018/1/26,1.207,1.3094,2.065,1.2629,1.172,1.290892049,1.6292,1.357107,1.12,1.0573,1.056,1.1256,1.0437,1.355,1.1262,1.1316,1.2594,1.1011,1.0456
2018/2/2,1.207,1.3115,2.036,1.2651,1.172,1.290892049,1.6413,1.350821,1.128,1.0594,1.055,1.126,1.0453,1.412,1.1458,1.1356,1.249,1.105,1.0421
2018/2/9,1.224,1.2416,1.876,1.2749,1.175,1.298154763,1.6566,1.36107,1.141,1.0583,1.057,1.131,1.0452,1.412,1.141,1.137,1.2767,1.0941,1.0355
2018/2/16,1.224,1.2416,1.946,1.2749,1.175,1.298154763,1.6566,1.370381,1.144,1.0537,1.057,1.1333,1.0419,1.412,1.141,1.1473,1.2888,1.0941,1.0355
2018/2/23,1.215,1.3003,1.993,1.2585,1.202,1.331965354,1.6764,1.37603,1.145,1.0568,1.06,1.1346,1.0443,1.412,1.1444,1.1539,1.2894,1.1116,1.0345
2018/3/2,1.22,1.304,2.029,1.2553,1.203,1.335115643,1.679,1.38697,1.157,1.0627,1.059,1.1334,1.0493,1.429,1.1468,1.1646,1.3178,1.126,1.0391
2018/3/9,1.226,1.3128,2.046,1.2651,1.203,1.335115643,1.6852,1.39007,1.167,1.0576,1.062,1.1346,1.0493,1.444,1.1623,1.1705,1.3185,1.1466,1.0381
2018/3/16,1.233,1.3181,2.019,1.2618,1.203,1.335115643,1.6925,1.393748,1.166,1.0393,1.065,1.1352,1.0413,1.408,1.1576,1.1748,1.3217,1.1472,1.0375
2018/3/23,1.286,1.2884,1.915,1.2629,1.225,1.365672707,1.6976,1.403219,1.178,1.0416,1.06,1.1366,1.0415,1.424,1.1569,1.1871,1.3257,1.1426,1.0378
2018/3/30,1.294,1.3068,1.979,1.2902,1.277,1.425737964,1.7044,1.4186,1.173,1.0661,1.054,1.1402,1.0498,1.451,1.1602,1.2044,1.3243,1.158,1.0391
2018/4/6,1.284,1.3138,1.975,1.2902,1.277,1.425737964,1.7077,1.42074,1.177,1.0719,1.056,1.1439,1.0522,1.417,1.1839,1.2062,1.3218,1.1663,1.04
2018/4/13,1.276,1.3178,2.018,1.3163,1.287,1.441274582,1.7151,1.429476,1.178,1.0617,1.059,1.1517,1.0465,1.417,1.1822,1.2106,1.3327,1.1703,1.0437
2018/4/20,1.258,1.3294,1.974,1.3392,1.285,1.441244596,1.7264,1.43087,1.17,1.0644,1.067,1.1601,1.0468,1.446,1.1825,1.2167,1.3366,1.1583,1.0466
2018/4/27,1.256,1.3384,1.975,1.3589,1.297,1.456913401,1.7336,1.437501,1.176,1.0578,1.066,1.1633,1.0448,1.48,1.192,1.226,1.3404,1.1664,1.0486
