,Fund5,Fund6,Fund18,Fund3,Fund2,Fund13,Fund10,Fund8,Fund9,Fund11,Fund12,Fund7,Fund14,Fund16,Fund17,Fund19,Fund1,Fund15,Fund4
Fund5,1.0,0.9930418299707338,0.361425394356937,0.17977683189941865,0.2160016408188368,0.030032539108498936,0.13174206336654104,0.017704409960016133,0.16974363550965912,-0.14541778939250405,0.18724241488608828,0.03202958777708234,-0.06843837184698073,0.30445064451491194,-0.01857204340440027,-0.0090391127661213,0.02130158309408533,-0.02203076386976658,0.06660224225358155
Fund6,0.9930418299707339,1.0,0.33479284822830063,0.15271183860888612,0.18130874478792136,0.036770138755991506,0.13511493509065992,0.029077217659629867,0.16504807983152378,-0.14171005729270866,0.18929942795153093,0.040440418461371204,-0.06474813522421456,0.30424859360529677,-0.012307392576959736,-0.021732207924954894,0.030426536450459715,-0.038778333813633534,0.08040292547715674
Fund18,0.36142539435693705,0.3347928482283007,1.0,0.5703346120843701,0.283382201861718,-0.053943755704274225,-0.12088650808030883,0.052760520286529826,0.2643636436898515,0.09155220247531692,0.23338296506872583,-0.011104750932173236,-0.15179337481907568,0.05849648596050001,-0.07655645379164046,0.10596455903651249,-0.07451130978592736,-0.02824363879020917,-0.11213466604354895
Fund3,0.17977683189941865,0.15271183860888612,0.57033461208437,1.0,0.20065843700805291,-0.22783980585358865,-0.1966727729575087,-0.17515456666034215,-0.0069543691956175996,0.11217767826844387,0.093911345277175,0.09686332721655429,-0.11897098288325296,0.02167910356686167,-0.08316729568839855,0.33592866106717545,0.02610758958794425,0.04998862567534992,-0.17136610609835748
Fund2,0.2160016408188368,0.18130874478792136,0.283382201861718,0.20065843700805291,1.0,-0.016650018950582778,0.02011711841483997,0.03432538673532242,0.10566995083191023,0.1796688513709586,0.052159386041435794,0.006480103505101873,0.018469079634191844,0.00678995017939672,-0.26678237567882673,0.11327451525791804,-0.016434788428689714,0.042511454712830195,0.012387987902290664
Fund13,0.030032539108498936,0.0367701387559915,-0.053943755704274225,-0.22783980585358862,-0.016650018950582778,1.0,0.7630140649310845,0.5187120493958268,-0.036429918742240976,-0.14450655772046522,-0.03786594738648642,-0.018671674219907248,-0.0011644826203128097,-0.008682911493205292,-0.13344191500796776,-0.25755794856770686,0.04668772670203708,0.07051074222207399,0.011016150108354583
Fund10,0.13174206336654104,0.13511493509065994,-0.12088650808030882,-0.19667277295750873,0.02011711841483997,0.7630140649310846,0.9999999999999999,0.2724679536033207,0.02150242258267012,-0.09440240652231811,-0.10525063696258022,0.12047334664547443,0.07606888377179997,0.08196113644937687,-0.1324677224222491,-0.15147434355772127,0.08081982933443885,0.15178747012334248,0.0035721918300944087
Fund8,0.017704409960016133,0.029077217659629867,0.052760520286529826,-0.17515456666034218,0.03432538673532242,0.5187120493958269,0.27246795360332066,1.0,0.08775583279456525,-0.022962232751551688,0.08532050635249135,-0.09669111613711354,0.0676684410359663,0.016609011444280487,0.04000862109573407,-0.3456286096347186,0.06814517218394626,-0.15807727835769983,-0.04286630736571185
Fund9,0.1697436355096591,0.16504807983152378,0.26436364368985144,-0.0069543691956175996,0.10566995083191023,-0.036429918742240976,0.02150242258267012,0.08775583279456525,0.9999999999999999,0.2840963044529786,0.27013674519280195,-0.08046141333091154,-0.10246962093543197,0.16712792513064623,0.1319313834623253,-0.019455961870692182,0.07749956412471329,0.02751405021636085,-0.05524663017459872
Fund11,-0.14541778939250405,-0.14171005729270866,0.09155220247531692,0.11217767826844385,0.17966885137095862,-0.14450655772046522,-0.09440240652231811,-0.022962232751551685,0.2840963044529786,0.9999999999999998,0.16809381603568965,-0.058244991753258535,-0.08379338376992465,0.06417941623704268,0.02127562134333337,0.13291566413377273,0.021413459599639695,-0.06046824757109859,-0.04680246604418619
Fund12,0.1872424148860883,0.18929942795153096,0.23338296506872583,0.09391134527717501,0.052159386041435794,-0.03786594738648642,-0.1052506369625802,0.08532050635249135,0.27013674519280195,0.16809381603568962,1.0,-0.08764516698703916,-0.060856889947624206,0.052600626545968455,0.11788667436969616,-0.08507354191555659,-0.0027714541274472555,-0.04117733652673133,0.04416709238432384
Fund7,0.03202958777708234,0.040440418461371204,-0.011104750932173236,0.09686332721655429,0.006480103505101873,-0.018671674219907248,0.12047334664547443,-0.09669111613711354,-0.08046141333091153,-0.05824499175325854,-0.08764516698703917,1.0,0.15806263462166578,0.15708007023666198,-0.06791826236421786,-0.05980582989089558,-0.025027899710010237,-0.000534802605617041,0.04438533030116715
Fund14,-0.06843837184698073,-0.06474813522421456,-0.15179337481907568,-0.11897098288325297,0.018469079634191848,-0.0011644826203128097,0.07606888377179997,0.0676684410359663,-0.10246962093543197,-0.08379338376992466,-0.06085688994762421,0.15806263462166578,1.0,0.06760248553016117,-0.0893377672504799,-0.07309010815759667,0.03375607031106994,-0.07760637688904574,0.12620225301559831
Fund16,0.30445064451491194,0.30424859360529677,0.05849648596050001,0.02167910356686167,0.006789950179396721,-0.008682911493205292,0.08196113644937686,0.016609011444280487,0.16712792513064623,0.06417941623704268,0.052600626545968455,0.15708007023666198,0.06760248553016117,1.0,-0.09300903364405841,-0.02896426850843812,0.1002769976537783,-0.11856444329018431,-0.0010847242373245498
Fund17,-0.018572043404400274,-0.012307392576959734,-0.07655645379164046,-0.08316729568839855,-0.26678237567882673,-0.13344191500796776,-0.13246772242224908,0.04000862109573407,0.1319313834623253,0.02127562134333337,0.11788667436969615,-0.06791826236421786,-0.0893377672504799,-0.09300903364405841,1.0,0.17866065867484993,0.03599274212607095,-0.16801947124648184,-0.18690361998872457
Fund19,-0.0090391127661213,-0.021732207924954894,0.10596455903651249,0.33592866106717545,0.11327451525791804,-0.25755794856770686,-0.15147434355772127,-0.3456286096347186,-0.019455961870692186,0.13291566413377273,-0.08507354191555658,-0.05980582989089558,-0.07309010815759667,-0.02896426850843812,0.1786606586748499,1.0,-0.1033825704562626,0.1771048439596531,0.003934855551936579
Fund1,0.02130158309408533,0.030426536450459715,-0.07451130978592738,0.026107589587944246,-0.016434788428689714,0.04668772670203708,0.08081982933443885,0.06814517218394626,0.07749956412471329,0.021413459599639695,-0.002771454127447256,-0.025027899710010237,0.03375607031106994,0.1002769976537783,0.03599274212607096,-0.1033825704562626,1.0,0.08960334844300885,0.05278699714203878
Fund15,-0.02203076386976658,-0.038778333813633534,-0.028243638790209174,0.04998862567534991,0.04251145471283019,0.07051074222207399,0.15178747012334246,-0.15807727835769983,0.02751405021636085,-0.06046824757109858,-0.04117733652673133,-0.000534802605617041,-0.07760637688904574,-0.1185644432901843,-0.16801947124648187,0.1771048439596531,0.08960334844300885,1.0,0.022932107038889708
Fund4,0.06660224225358155,0.08040292547715674,-0.11213466604354896,-0.1713661060983575,0.012387987902290662,0.011016150108354585,0.0035721918300944087,-0.042866307365711856,-0.05524663017459873,-0.04680246604418619,0.04416709238432385,0.04438533030116715,0.12620225301559831,-0.0010847242373245498,-0.18690361998872457,0.003934855551936579,0.052786997142038786,0.022932107038889708,1.0
